Marka,Yil,Kilometre,Talep_Skoru,Fiyat
Hyundai,2010.0,230000.0,80,495000.0
Hyundai,2009.0,220000.0,80,400000.0
Hyundai,2008.0,230000.0,80,389000.0
Hyundai,2018.0,92000.0,80,965000.0
Hyundai,2006.0,157000.0,80,370000.0
Hyundai,2015.0,275000.0,80,725000.0
Hyundai,2010.0,215777.0,80,396000.0
Hyundai,2023.0,30000.0,80,1150000.0
Hyundai,2004.0,215200.0,80,380000.0
Hyundai,2017.0,141000.0,80,895900.0
Hyundai,2023.0,87428.0,80,899000.0
Hyundai,2010.0,177000.0,80,535000.0
Hyundai,2010.0,129000.0,80,448000.0
Hyundai,2023.0,9000.0,80,1180000.0
Hyundai,2004.0,212000.0,80,385000.0
Hyundai,2011.0,110000.0,80,639000.0
Hyundai,2006.0,267000.0,80,290000.0
Hyundai,2006.0,160000.0,80,425500.0
Hyundai,2010.0,280000.0,80,520000.0
Hyundai,1999.0,394000.0,80,181750.0
Nissan,2000.0,208000.0,85,575000.0
Nissan,2004.0,385000.0,85,280000.0
Nissan,2005.0,240000.0,85,320000.0
Nissan,2001.0,193200.0,85,278888.0
Nissan,2006.0,182500.0,85,363000.0
Nissan,2012.0,133000.0,85,640000.0
Nissan,2021.0,58000.0,85,896000.0
Nissan,2017.0,70000.0,85,640000.0
Nissan,1996.0,222000.0,85,340000.0
Nissan,2008.0,86000.0,85,480000.0
Nissan,2008.0,25000.0,85,499999.0
Nissan,2008.0,440000.0,85,315000.0
Nissan,2007.0,266000.0,85,350000.0
Nissan,2008.0,99000.0,85,499750.0
Nissan,1997.0,332000.0,85,275000.0
Nissan,1999.0,320000.0,85,310000.0
Nissan,2004.0,337000.0,85,380000.0
Nissan,2007.0,225000.0,85,330000.0
Nissan,2006.0,150000.0,85,450000.0
Nissan,2011.0,200000.0,85,410000.0
Nissan,2017.0,80781.0,85,845000.0
Nissan,2006.0,277000.0,85,315000.0
Nissan,2003.0,228000.0,85,372500.0
Nissan,2006.0,205000.0,85,428000.0
Nissan,2001.0,311000.0,85,295000.0
Nissan,2005.0,180000.0,85,396000.0
Nissan,2007.0,254000.0,85,410000.0
Nissan,2004.0,270000.0,85,405000.0
Nissan,2005.0,220000.0,85,405000.0
Nissan,2011.0,178000.0,85,447500.0
Nissan,2000.0,367000.0,85,350000.0
Nissan,2004.0,296000.0,85,380000.0
Nissan,2006.0,215000.0,85,365000.0
Nissan,2004.0,367000.0,85,345000.0
